word,category,sources
bag,Household,"globish, ogdens_basic_english, upgoer5"
balance,Business,"globish, ogdens_basic_english, voa_special_english"
ball,Household,"globish, ogdens_basic_english, upgoer5, voa_special_english"
balloon,Transport,voa_special_english
ballot,Political,"globish, voa_special_english"
ban,Political,"globish, voa_special_english"
band,Tools,upgoer5
bank,Business,"globish, voa_special_english"
bar,Buildings,"globish, upgoer5, voa_special_english"
barely,Nature,upgoer5
barrier,Buildings,"globish, voa_special_english"
base,Buildings,"globish, ogdens_basic_english"
basin,Household,ogdens_basic_english
basket,Household,"globish, ogdens_basic_english"
bath,Household,"globish, ogdens_basic_english"
bathroom,Household,upgoer5
battle,War,"globish, voa_special_english"
be,Nature,"globish, ogdens_basic_english, upgoer5, voa_special_english"
bear,Animals,globish
beat,Mathematics,"globish, upgoer5, voa_special_english"
beautiful,Visual,"ogdens_basic_english, upgoer5"
beauty,Visual,"globish, voa_special_english"
became,Time,upgoer5
because,Education,"globish, ogdens_basic_english, upgoer5, voa_special_english"
become,Nature,"globish, upgoer5, voa_special_english"
bed,Household,"globish, ogdens_basic_english, upgoer5, voa_special_english"
bedroom,Household,upgoer5
bee,Animals,ogdens_basic_english
been,Time,upgoer5
beer,Food/Drink,globish
before,Time,"globish, ogdens_basic_english, upgoer5, voa_special_english"
began,Time,upgoer5
begin,Time,"globish, upgoer5, voa_special_english"
behavior,People,"ogdens_basic_english, voa_special_english"
behind,Direction,"globish, upgoer5, voa_special_english"
belief,Education,ogdens_basic_english
believe,People,"globish, upgoer5, voa_special_english"
bell,Household,"globish, ogdens_basic_english, upgoer5"
belong,Household,"globish, voa_special_english"
below,Direction,"globish, voa_special_english"
bend,Visual,globish
bent,Visual,ogdens_basic_english
berry,Food/Drink,ogdens_basic_english
beside,Direction,"globish, upgoer5"
besides,Direction,upgoer5
best,Visual,"globish, upgoer5, voa_special_english"
betray,Political,"globish, voa_special_english"
better,Visual,"globish, upgoer5, voa_special_english"
between,Direction,"globish, ogdens_basic_english, upgoer5, voa_special_english"
big,Visual,"globish, upgoer5, voa_special_english"
bill,Business,"globish, voa_special_english"
biology,Nature,voa_special_english
bird,Animals,"globish, ogdens_basic_english, voa_special_english"
birth,Nature,"globish, ogdens_basic_english"
bit,Mathematics,"globish, ogdens_basic_english, upgoer5"
bite,Food/Drink,"globish, ogdens_basic_english, upgoer5, voa_special_english"
bitter,Food/Drink,ogdens_basic_english
black,Color,"globish, ogdens_basic_english, upgoer5, voa_special_english"
blade,Tools,"globish, ogdens_basic_english"
blame,Business,"globish, voa_special_english"
blank,Nature,globish
blanket,Household,globish
bleed,Body Parts,"globish, voa_special_english"
blind,Visual,"globish, voa_special_english"
blink,Visual,upgoer5
block,Buildings,"globish, upgoer5, voa_special_english"
blonde,People,upgoer5
blood,Body Parts,"globish, ogdens_basic_english, upgoer5, voa_special_english"
blow,Nature,"globish, ogdens_basic_english, voa_special_english"
blue,Color,"globish, ogdens_basic_english, upgoer5, voa_special_english"
blush,Color,upgoer5
board,Business,"globish, ogdens_basic_english"
boat,Transport,"globish, ogdens_basic_english, voa_special_english"
body,Body Parts,"globish, ogdens_basic_english, upgoer5, voa_special_english"
boil,Food/Drink,voa_special_english
boiling,Nature,ogdens_basic_english
bomb,War,"globish, voa_special_english"
bone,Body Parts,"globish, ogdens_basic_english, voa_special_english"
bonus,Business,globish
book,Education,"globish, ogdens_basic_english, upgoer5, voa_special_english"
boot,Clothes,"globish, ogdens_basic_english"
border,Political,"globish, voa_special_english"
bore,Nature,upgoer5
born,People,"globish, voa_special_english"
borrow,Business,"globish, voa_special_english"
boss,Business,globish
both,Mathematics,"globish, upgoer5, voa_special_english"
bother,People,upgoer5
bottle,Household,"globish, ogdens_basic_english, upgoer5, voa_special_english"
bottom,Direction,"globish, upgoer5, voa_special_english"
box,Household,"globish, ogdens_basic_english, upgoer5, voa_special_english"
boy,People,"globish, ogdens_basic_english, upgoer5, voa_special_english"
boycott,Political,"globish, voa_special_english"
boyfriend,People,upgoer5
brain,Body Parts,"globish, ogdens_basic_english, upgoer5, voa_special_english"
brake,Transport,"globish, ogdens_basic_english"
branch,Business,"globish, ogdens_basic_english"
brass,Materials,ogdens_basic_english
brave,People,"globish, voa_special_english"
bread,Food/Drink,"globish, ogdens_basic_english, voa_special_english"
break,Time,"globish, upgoer5, voa_special_english"
breakfast,Food/Drink,upgoer5
breath,Body Parts,"ogdens_basic_english, upgoer5"
breathe,Body Parts,"globish, upgoer5, voa_special_english"
brick,Materials,"globish, ogdens_basic_english"
bridge,Transport,"globish, ogdens_basic_english, voa_special_english"
brief,Time,"globish, voa_special_english"
bright,Visual,"globish, ogdens_basic_english, upgoer5, voa_special_english"
bring,Transport,"globish, voa_special_english"
broad,Visual,globish
broadcast,Agriculture,"globish, voa_special_english"
broke,Industry,upgoer5
broken,Visual,"ogdens_basic_english, upgoer5"
brother,People,"globish, ogdens_basic_english, upgoer5, voa_special_english"
brought,Business,upgoer5
brown,Color,"globish, ogdens_basic_english, upgoer5, voa_special_english"
brush,Tools,"globish, ogdens_basic_english, upgoer5"
bucket,Household,ogdens_basic_english
budget,Business,"globish, voa_special_english"
build,Industry,"globish, upgoer5, voa_special_english"
building,Buildings,"ogdens_basic_english, voa_special_english"
bulb,Household,ogdens_basic_english
bullet,Visual,"globish, voa_special_english"
burn,Nature,"globish, ogdens_basic_english, upgoer5, voa_special_english"
burst,Nature,"globish, ogdens_basic_english, upgoer5, voa_special_english"
bury,Agriculture,"globish, voa_special_english"
bus,Transport,"upgoer5, voa_special_english"
business,Business,"globish, ogdens_basic_english, upgoer5, voa_special_english"
busy,Business,"globish, upgoer5, voa_special_english"
but,Direction,"globish, ogdens_basic_english, upgoer5"
butter,Food/Drink,"globish, ogdens_basic_english"
button,Clothes,"globish, ogdens_basic_english"
buy,Business,"globish, upgoer5, voa_special_english"
by,Direction,"globish, ogdens_basic_english, voa_special_english"
cabinet,Household,"globish, voa_special_english"
cake,Food/Drink,ogdens_basic_english
call,Business,"globish, upgoer5, voa_special_english"
calm,Nature,"globish, upgoer5, voa_special_english"
came,Time,upgoer5
camera,Visual,"globish, ogdens_basic_english, voa_special_english"
camp,Nature,"globish, voa_special_english"
campaign,Business,"globish, voa_special_english"
can,Household,"globish, upgoer5, voa_special_english"
cancel,Business,"globish, voa_special_english"
cancer,Body Parts,voa_special_english
candidate,Political,voa_special_english
canvas,Materials,ogdens_basic_english
capital,Business,voa_special_english
capture,War,"globish, voa_special_english"
car,Transport,"globish, upgoer5, voa_special_english"
card,Business,"globish, ogdens_basic_english, upgoer5"
care,People,"globish, ogdens_basic_english, upgoer5, voa_special_english"
career,Business,voa_special_english
careful,Visual,voa_special_english
carefully,Visual,upgoer5
carriage,Transport,"globish, ogdens_basic_english"
carry,Transport,"globish, upgoer5, voa_special_english"
cart,Transport,ogdens_basic_english
case,Business,"globish, upgoer5, voa_special_english"
cash,Business,globish
cat,Animals,"globish, ogdens_basic_english, upgoer5, voa_special_english"
catch,Visual,"globish, upgoer5, voa_special_english"
caught,Visual,upgoer5
cause,Nature,"globish, ogdens_basic_english, upgoer5, voa_special_english"
ceasefire,War,voa_special_english
celebrate,People,"globish, voa_special_english"
cell,Body Parts,"globish, upgoer5"
center,Direction,"globish, voa_special_english"
century,Time,"globish, voa_special_english"
ceremony,People,"globish, voa_special_english"
certain,Mathematics,"globish, ogdens_basic_english"
chain,Household,"globish, ogdens_basic_english"
chair,Household,"globish, upgoer5"
chairman,Business,"globish, voa_special_english"
chalk,Materials,ogdens_basic_english
challenge,Business,globish
champion,People,"globish, voa_special_english"
chance,Mathematics,"globish, ogdens_basic_english, upgoer5, voa_special_english"
change,Business,"globish, ogdens_basic_english, upgoer5, voa_special_english"
channel,Nature,globish
character,People,globish
charge,Business,"globish, voa_special_english"
chart,Visual,globish
chase,Nature,"globish, upgoer5, voa_special_english"
cheap,Business,"globish, ogdens_basic_english"
cheat,Education,voa_special_english
check,Business,"globish, upgoer5"
cheek,Body Parts,upgoer5
cheer,People,"globish, voa_special_english"
cheese,Food/Drink,"globish, ogdens_basic_english"
chemical,Industry,"globish, ogdens_basic_english"
chemicals,Materials,voa_special_english
chemistry,Education,voa_special_english
chest,Body Parts,"globish, ogdens_basic_english, upgoer5"
chief,People,"globish, ogdens_basic_english, voa_special_english"
child,People,"globish, upgoer5, voa_special_english"
children,People,"upgoer5, voa_special_english"
chin,Body Parts,ogdens_basic_english
choose,Business,"globish, voa_special_english"
chuckle,Visual,upgoer5
church,Buildings,"globish, ogdens_basic_english"
circle,Mathematics,"globish, ogdens_basic_english, voa_special_english"
citizen,People,"globish, voa_special_english"
city,Buildings,"globish, upgoer5, voa_special_english"
civil rights,Political,voa_special_english
civilian,People,"globish, voa_special_english"
claim,Business,"globish, voa_special_english"
clash,War,"globish, voa_special_english"
class,Education,"globish, upgoer5, voa_special_english"
clean,Visual,"globish, ogdens_basic_english, upgoer5, voa_special_english"
clear,Visual,"globish, ogdens_basic_english, upgoer5, voa_special_english"
clergy,People,voa_special_english
climate,Nature,"globish, voa_special_english"
climb,Direction,"globish, upgoer5, voa_special_english"
clock,Time,"globish, ogdens_basic_english, voa_special_english"
close,Direction,"globish, upgoer5, voa_special_english"
cloth,Materials,"globish, ogdens_basic_english, voa_special_english"
clothes,Clothes,"upgoer5, voa_special_english"
cloud,Nature,"globish, ogdens_basic_english, voa_special_english"
coal,Materials,"globish, ogdens_basic_english, voa_special_english"
coalition,Political,voa_special_english
coast,Nature,"globish, voa_special_english"
coat,Clothes,"globish, ogdens_basic_english"
code,Industry,globish
coffee,Food/Drink,"upgoer5, voa_special_english"
cold,Nature,"globish, ogdens_basic_english, upgoer5, voa_special_english"
collapse,Visual,voa_special_english
collar,Clothes,ogdens_basic_english
collect,Business,"globish, voa_special_english"
college,Education,"globish, upgoer5, voa_special_english"
colony,Political,"globish, voa_special_english"
color,Color,"globish, ogdens_basic_english, upgoer5, voa_special_english"
comb,Tools,ogdens_basic_english
combine,Business,"globish, voa_special_english"
come,Direction,"globish, ogdens_basic_english, upgoer5, voa_special_english"
comfort,Household,"globish, ogdens_basic_english"
command,Business,"globish, voa_special_english"
comment,Education,"upgoer5, voa_special_english"
committee,Political,"globish, ogdens_basic_english, voa_special_english"
common,Mathematics,"globish, ogdens_basic_english, voa_special_english"
communicate,People,"globish, voa_special_english"
community,People,"globish, voa_special_english"
company,Business,"globish, ogdens_basic_english, voa_special_english"
compare,Mathematics,"globish, voa_special_english"
comparison,Visual,ogdens_basic_english
compete,Business,"globish, voa_special_english"
competition,Business,ogdens_basic_english
complete,Business,"globish, ogdens_basic_english, upgoer5, voa_special_english"
completely,Visual,upgoer5
complex,Mathematics,"ogdens_basic_english, voa_special_english"
compromise,Political,"globish, voa_special_english"
computer,Tools,"globish, upgoer5, voa_special_english"
concern,Business,"globish, upgoer5, voa_special_english"
condemn,Political,"globish, voa_special_english"
condition,Business,"globish, ogdens_basic_english, voa_special_english"
conference,Business,"globish, voa_special_english"
confirm,Business,"globish, voa_special_english"
conflict,War,voa_special_english
confuse,Visual,upgoer5
congratulate,People,"globish, voa_special_english"
congress,Political,globish
connect,Agriculture,"globish, voa_special_english"
connection,Business,ogdens_basic_english
conscious,Nature,ogdens_basic_english
conservative,Political,voa_special_english
consider,Visual,"globish, upgoer5, voa_special_english"
constitution,Political,voa_special_english
consumption,Business,globish
contact,Business,"globish, voa_special_english"
contain,Mathematics,"globish, voa_special_english"
container,Household,voa_special_english
continent,Nature,"globish, voa_special_english"
continue,Time,"globish, upgoer5, voa_special_english"
control,Business,"globish, ogdens_basic_english, upgoer5, voa_special_english"
convention,Political,voa_special_english
conversation,People,upgoer5
cook,Food/Drink,"globish, ogdens_basic_english, voa_special_english"
cool,Visual,"globish, upgoer5, voa_special_english"
cooperate,Business,"globish, voa_special_english"
copper,Materials,ogdens_basic_english
copy,Business,"globish, ogdens_basic_english, voa_special_english"
cord,Materials,ogdens_basic_english
cork,Materials,"globish, ogdens_basic_english"
corn,Agriculture,"globish, voa_special_english"
corner,Mathematics,"globish, upgoer5"
correct,Education,"globish, voa_special_english"
corruption,Political,voa_special_english
cost,Business,"globish, voa_special_english"
cotton,Materials,"globish, ogdens_basic_english, voa_special_english"
couch,Household,upgoer5
cough,Body Parts,ogdens_basic_english
could,Visual,upgoer5
couldn't,Time,upgoer5
count,Mathematics,"globish, voa_special_english"
counter,Mathematics,upgoer5
country,Political,"globish, ogdens_basic_english, voa_special_english"
couple,People,upgoer5
course,Education,"globish, upgoer5"
court,Political,"globish, voa_special_english"
