word,category,sources
exactly,Mathematics,upgoer5
examine,Visual,voa_special_english
example,Education,"globish, ogdens_basic_english, voa_special_english"
excellent,Visual,voa_special_english
except,Mathematics,"globish, upgoer5, voa_special_english"
exchange,Business,"globish, ogdens_basic_english, voa_special_english"
excite,Visual,upgoer5
exclaim,People,upgoer5
excuse,People,"globish, upgoer5, voa_special_english"
execute,Business,"globish, voa_special_english"
exercise,Education,"globish, voa_special_english"
exile,People,voa_special_english
exist,Nature,"globish, voa_special_english"
existence,Nature,ogdens_basic_english
exit,Direction,globish
expand,Mathematics,"globish, voa_special_english"
expansion,Business,ogdens_basic_english
expect,Time,"globish, upgoer5, voa_special_english"
expel,Education,voa_special_english
expense,Business,globish
experience,Education,"globish, ogdens_basic_english, voa_special_english"
experiment,Education,"globish, voa_special_english"
expert,People,"globish, ogdens_basic_english, voa_special_english"
explain,Education,"globish, upgoer5, voa_special_english"
explode,War,"globish, voa_special_english"
explore,Education,"globish, voa_special_english"
export,Business,voa_special_english
export*,Business,globish
express,Transport,"globish, voa_special_english"
expression,Visual,upgoer5
extend,Visual,"globish, voa_special_english"
extra,Mathematics,"globish, voa_special_english"
extraordinary,Business,voa_special_english
extreme,Mathematics,"globish, voa_special_english"
extremist,Political,voa_special_english
eye,Body Parts,"globish, ogdens_basic_english, upgoer5"
eyebrow,Body Parts,upgoer5
face,Body Parts,"globish, ogdens_basic_english, upgoer5, voa_special_english"
fact,Education,"globish, ogdens_basic_english, upgoer5, voa_special_english"
factory,Industry,"globish, voa_special_english"
fail,Business,"globish, voa_special_english"
fair,Visual,"globish, voa_special_english"
fall,Nature,"globish, ogdens_basic_english, upgoer5, voa_special_english"
family,People,"globish, ogdens_basic_english, upgoer5, voa_special_english"
famous,People,"globish, voa_special_english"
fan,Household,voa_special_english
far,Visual,"globish, ogdens_basic_english, upgoer5, voa_special_english"
farm,Agriculture,"ogdens_basic_english, voa_special_english"
fast,Visual,"globish, upgoer5, voa_special_english"
fat,Food/Drink,"globish, ogdens_basic_english, voa_special_english"
father,People,"globish, ogdens_basic_english, upgoer5, voa_special_english"
fault,Nature,upgoer5
favorite,People,"upgoer5, voa_special_english"
fear,People,"globish, ogdens_basic_english, upgoer5, voa_special_english"
feather,Animals,"globish, ogdens_basic_english"
feature,Visual,globish
federal,Political,voa_special_english
feeble,People,ogdens_basic_english
feed,Agriculture,"globish, voa_special_english"
feel,Body Parts,"globish, upgoer5, voa_special_english"
feeling,Body Parts,ogdens_basic_english
feet,Body Parts,upgoer5
fell,Nature,upgoer5
felt,Materials,upgoer5
female,People,"globish, ogdens_basic_english, voa_special_english"
fence,Agriculture,voa_special_english
fertile,Agriculture,"globish, ogdens_basic_english, voa_special_english"
few,Mathematics,"globish, upgoer5, voa_special_english"
fiction,Education,ogdens_basic_english
field,Agriculture,"globish, ogdens_basic_english, upgoer5, voa_special_english"
fierce,Nature,"globish, voa_special_english"
fight,War,"globish, ogdens_basic_english, upgoer5, voa_special_english"
figure,Visual,"globish, upgoer5"
file,Business,globish
fill,Nature,"globish, upgoer5, voa_special_english"
film,Visual,"globish, voa_special_english"
final,Time,"globish, voa_special_english"
finally,Time,upgoer5
finance,Business,globish
financial,Business,voa_special_english
find,Visual,"globish, upgoer5, voa_special_english"
fine,Visual,"globish, upgoer5, voa_special_english"
finger,Body Parts,"globish, ogdens_basic_english, upgoer5"
finish,Time,"globish, upgoer5, voa_special_english"
fire,Nature,"globish, ogdens_basic_english, upgoer5, voa_special_english"
fireworks,Visual,voa_special_english
firm,Business,"globish, voa_special_english"
first,Mathematics,"globish, ogdens_basic_english, upgoer5, voa_special_english"
fish,Animals,"globish, ogdens_basic_english, voa_special_english"
fist,Body Parts,globish
fit,Body Parts,"globish, upgoer5, voa_special_english"
five,Mathematics,upgoer5
fix,Tools,"globish, upgoer5, voa_special_english"
fixed,Visual,ogdens_basic_english
flag,Political,"globish, ogdens_basic_english, voa_special_english"
flame,Nature,ogdens_basic_english
flash,Visual,upgoer5
flat,Visual,"globish, ogdens_basic_english, voa_special_english"
flee,War,voa_special_english
flight,Transport,ogdens_basic_english
flip,Direction,upgoer5
float,Mathematics,"globish, voa_special_english"
flood,Nature,voa_special_english
floor,Household,"globish, ogdens_basic_english, upgoer5, voa_special_english"
flow,Nature,"globish, voa_special_english"
flower,Nature,"globish, ogdens_basic_english, voa_special_english"
fluid,Materials,"globish, voa_special_english"
fly,Animals,"globish, ogdens_basic_english, upgoer5, voa_special_english"
focus,Visual,upgoer5
fog,Nature,"globish, voa_special_english"
fold,Nature,"globish, ogdens_basic_english"
follow,Direction,"globish, upgoer5, voa_special_english"
food,Food/Drink,"globish, ogdens_basic_english, upgoer5, voa_special_english"
fool,People,"globish, voa_special_english"
foolish,People,ogdens_basic_english
foot,Body Parts,"globish, ogdens_basic_english, upgoer5, voa_special_english"
for,Direction,"globish, ogdens_basic_english, voa_special_english"
forbid,Political,globish
force,Nature,"globish, ogdens_basic_english, upgoer5, voa_special_english"
foreign,Nature,"globish, voa_special_english"
forest,Nature,"globish, voa_special_english"
forget,Education,"globish, upgoer5, voa_special_english"
forgive,People,"globish, voa_special_english"
fork,Household,ogdens_basic_english
form,Visual,"globish, ogdens_basic_english, upgoer5, voa_special_english"
former,Time,"globish, voa_special_english"
forward,Direction,"globish, ogdens_basic_english, upgoer5, voa_special_english"
found,Visual,upgoer5
four,Mathematics,upgoer5
fowl,Animals,ogdens_basic_english
frame,Household,"globish, ogdens_basic_english"
free,Business,"globish, ogdens_basic_english, upgoer5, voa_special_english"
freedom,Political,voa_special_english
freeze,Nature,"globish, voa_special_english"
frequent,Time,ogdens_basic_english
fresh,Food/Drink,"globish, voa_special_english"
friend,People,"globish, ogdens_basic_english, upgoer5, voa_special_english"
frighten,People,"globish, voa_special_english"
from,Direction,"globish, ogdens_basic_english, upgoer5, voa_special_english"
front,Direction,"globish, ogdens_basic_english, upgoer5, voa_special_english"
frown,Visual,upgoer5
fruit,Food/Drink,"globish, ogdens_basic_english, voa_special_english"
fuel,Industry,"globish, voa_special_english"
full,Visual,"globish, ogdens_basic_english, upgoer5, voa_special_english"
fun,Nature,"globish, upgoer5, voa_special_english"
funeral,People,voa_special_english
funny,Visual,upgoer5
further,Direction,upgoer5
future,Time,"globish, ogdens_basic_english, voa_special_english"
gain,Business,"globish, voa_special_english"
gallon,Mathematics,globish
game,Business,"globish, upgoer5, voa_special_english"
gang,People,globish
garden,Nature,"globish, ogdens_basic_english"
gas,Industry,"globish, voa_special_english"
gasp,Body Parts,upgoer5
gather,Agriculture,"globish, voa_special_english"
gave,People,upgoer5
gaze,Visual,upgoer5
general,Business,"globish, ogdens_basic_english, voa_special_english"
generation,Agriculture,voa_special_english
genocide,War,voa_special_english
gentle,People,"globish, voa_special_english"
gently,Visual,upgoer5
get,Business,"globish, ogdens_basic_english"
gift,Business,"globish, voa_special_english"
giggle,Body Parts,upgoer5
girl,People,"globish, ogdens_basic_english, upgoer5, voa_special_english"
girlfriend,People,upgoer5
give,Business,"globish, ogdens_basic_english, upgoer5, voa_special_english"
given,Time,upgoer5
glad,People,upgoer5
glance,Visual,upgoer5
glare,Visual,upgoer5
glass,Materials,"globish, ogdens_basic_english, upgoer5, voa_special_english"
global,Business,globish
glove,Clothes,ogdens_basic_english
go,Direction,"globish, ogdens_basic_english, upgoer5, voa_special_english"
goal,Business,"globish, voa_special_english"
goat,Animals,ogdens_basic_english
god,People,"globish, voa_special_english"
gold,Materials,"globish, ogdens_basic_english, voa_special_english"
gone,Time,upgoer5
gonna,Time,upgoer5
good,Visual,"globish, ogdens_basic_english, upgoer5, voa_special_english"
goods,Business,voa_special_english
gotten,Time,upgoer5
govern,Political,"globish, voa_special_english"
government,Political,"ogdens_basic_english, voa_special_english"
grab,Visual,upgoer5
grain,Agriculture,"ogdens_basic_english, voa_special_english"
grass,Nature,"globish, ogdens_basic_english, voa_special_english"
gray,Color,voa_special_english
gray (grey),Color,globish
great,Visual,"globish, ogdens_basic_english, upgoer5, voa_special_english"
green,Color,"globish, ogdens_basic_english, upgoer5, voa_special_english"
greet,People,upgoer5
grey,Color,upgoer5
grey/gray,Color,ogdens_basic_english
grin,Visual,upgoer5
grind,Industry,voa_special_english
grip,Tools,"ogdens_basic_english, upgoer5"
groan,Body Parts,upgoer5
ground,Nature,"globish, upgoer5, voa_special_english"
group,Business,"globish, ogdens_basic_english, upgoer5, voa_special_english"
grow,Agriculture,"globish, upgoer5, voa_special_english"
growth,Business,ogdens_basic_english
guarantee,Business,"globish, voa_special_english"
guard,People,"globish, upgoer5, voa_special_english"
guerrilla,War,voa_special_english
guess,Visual,"globish, upgoer5"
guide,Education,"globish, ogdens_basic_english, voa_special_english"
guilty,Political,"globish, voa_special_english"
gun,War,"globish, ogdens_basic_english, upgoer5, voa_special_english"
guy,People,"globish, upgoer5"
had,Time,upgoer5
hair,Body Parts,"globish, ogdens_basic_english, upgoer5, voa_special_english"
half,Mathematics,"globish, upgoer5, voa_special_english"
hall,Household,upgoer5
hallway,Buildings,upgoer5
halt,War,"globish, voa_special_english"
hammer,Tools,ogdens_basic_english
hand,Body Parts,"globish, ogdens_basic_english, upgoer5"
handle,Household,upgoer5
hang,Household,"globish, upgoer5, voa_special_english"
hanging,Visual,ogdens_basic_english
happen,Time,"globish, upgoer5, voa_special_english"
happy,People,"globish, ogdens_basic_english, upgoer5, voa_special_english"
harbor,Transport,ogdens_basic_english
hard,Materials,"globish, ogdens_basic_english, upgoer5, voa_special_english"
harm,People,"globish, voa_special_english"
harmony,Visual,ogdens_basic_english
harvest,Agriculture,voa_special_english
hat,Clothes,"globish, ogdens_basic_english, voa_special_english"
hate,People,"globish, ogdens_basic_english, upgoer5, voa_special_english"
have,Business,"globish, ogdens_basic_english, upgoer5, voa_special_english"
he,People,"globish, ogdens_basic_english, upgoer5, voa_special_english"
he'd,People,upgoer5
he's,People,upgoer5
head,Body Parts,"globish, ogdens_basic_english, upgoer5, voa_special_english"
headquarters,Business,voa_special_english
heal,Body Parts,"globish, voa_special_english"
health,Body Parts,"globish, voa_special_english"
healthy,Food/Drink,ogdens_basic_english
hear,Body Parts,"globish, upgoer5, voa_special_english"
heard,Visual,upgoer5
hearing,Body Parts,ogdens_basic_english
heart,Body Parts,"globish, ogdens_basic_english, upgoer5"
heat,Nature,"globish, ogdens_basic_english, voa_special_english"
heavy,Visual,"globish, upgoer5, voa_special_english"
held,Visual,upgoer5
helicopter,Transport,voa_special_english
hello,People,upgoer5
help,People,"globish, ogdens_basic_english, upgoer5, voa_special_english"
her,People,"globish, upgoer5"
here,Direction,"globish, ogdens_basic_english, upgoer5, voa_special_english"
hero,People,voa_special_english
herself,People,upgoer5
hey,People,upgoer5
hi,People,upgoer5
hide,Visual,"globish, upgoer5, voa_special_english"
high,Visual,"globish, ogdens_basic_english, upgoer5, voa_special_english"
hijack,Transport,"globish, voa_special_english"
hill,Nature,"globish, voa_special_english"
him,People,"globish, upgoer5"
himself,People,upgoer5
hire,Business,globish
his,People,"globish, upgoer5"
history,Education,"globish, ogdens_basic_english, voa_special_english"
hit,War,"globish, upgoer5, voa_special_english"
hold,Business,"globish, upgoer5, voa_special_english"
hole,Industry,"globish, ogdens_basic_english, voa_special_english"
holiday,Time,"globish, voa_special_english"
hollow,Visual,"globish, ogdens_basic_english"
holy,Nature,"globish, voa_special_english"
home,Buildings,"globish, upgoer5, voa_special_english"
honest,People,"globish, voa_special_english"
honor,Political,voa_special_english
hook,Tools,ogdens_basic_english
hope,Nature,"globish, ogdens_basic_english, upgoer5, voa_special_english"
horn,Body Parts,ogdens_basic_english
horrible,Visual,"globish, voa_special_english"
horse,Animals,"globish, ogdens_basic_english, upgoer5, voa_special_english"
hospital,Buildings,"globish, ogdens_basic_english, upgoer5, voa_special_english"
hostage,People,"globish, voa_special_english"
hostile,War,"globish, voa_special_english"
hot,Nature,"globish, upgoer5, voa_special_english"
hotel,Buildings,voa_special_english
hour,Time,"globish, ogdens_basic_english, upgoer5, voa_special_english"
house,Buildings,"globish, ogdens_basic_english, upgoer5, voa_special_english"
how,Visual,"globish, ogdens_basic_english, upgoer5, voa_special_english"
however,Education,"globish, upgoer5"
hug,People,upgoer5
huge,Visual,"globish, upgoer5, voa_special_english"
huh,Visual,upgoer5
human,People,"globish, upgoer5, voa_special_english"
humor,People,"globish, ogdens_basic_english, voa_special_english"
hundred,Mathematics,upgoer5
hung,Visual,upgoer5
hunger,Food/Drink,"globish, voa_special_english"
hunt,Animals,"globish, voa_special_english"
hurry,Time,"globish, upgoer5, voa_special_english"
hurt,Body Parts,"globish, upgoer5, voa_special_english"
husband,People,"globish, voa_special_english"
ice,Nature,"globish, ogdens_basic_english, upgoer5, voa_special_english"
idea,Education,"globish, ogdens_basic_english, upgoer5, voa_special_english"
identify,Education,"globish, voa_special_english"
if,Nature,upgoer5
ignore,Nature,voa_special_english
ill,Body Parts,"globish, ogdens_basic_english"
illegal,Political,voa_special_english
imagine,Visual,"globish, upgoer5, voa_special_english"
immediate,Time,voa_special_english
immediately,Time,upgoer5
immigrant,People,voa_special_english
import,Business,voa_special_english
import*,Business,globish
important,Education,"globish, ogdens_basic_english, upgoer5, voa_special_english"
improve,Education,"globish, voa_special_english"
impulse,Education,ogdens_basic_english
in,Direction,"globish, ogdens_basic_english, upgoer5, voa_special_english"
inch,Mathematics,globish
incident,Business,"globish, voa_special_english"
incite,Political,voa_special_english
include,Business,"globish, voa_special_english"
increase,Mathematics,"ogdens_basic_english, voa_special_english"
increase*,Mathematics,globish
independent,Political,"globish, voa_special_english"
indicate,Visual,globish
individual,People,"globish, voa_special_english"
industry,Industry,"globish, ogdens_basic_english, voa_special_english"
infect,Nature,"globish, voa_special_english"
inflation,Business,voa_special_english
influence,Political,"globish, voa_special_english"
inform,Business,"globish, voa_special_english"
information,Education,voa_special_english
inject,Body Parts,"globish, voa_special_english"
injure,Body Parts,"globish, voa_special_english"
ink,Materials,ogdens_basic_english
innocent,People,"globish, voa_special_english"
insane,People,"globish, voa_special_english"
insect,Animals,"globish, ogdens_basic_english, voa_special_english"
inside,Direction,upgoer5
inspect,Visual,"globish, voa_special_english"
instead,Direction,globish
instrument,Tools,"ogdens_basic_english, voa_special_english"
insult,People,voa_special_english
insult*,People,globish
insurance,Business,"globish, ogdens_basic_english"
intelligence,Business,"globish, voa_special_english"
intelligent,People,voa_special_english
intense,Nature,"globish, voa_special_english"
interest,Business,"globish, ogdens_basic_english, upgoer5, voa_special_english"
interfere,Political,"globish, voa_special_english"
international,Political,"globish, voa_special_english"
interrupt,Time,upgoer5
intervene,Political,voa_special_english
into,Direction,"globish, upgoer5"
invade,War,"globish, voa_special_english"
invent,Business,"globish, voa_special_english"
invention,Business,ogdens_basic_english
invest,Business,"globish, voa_special_english"
investigate,Education,"globish, voa_special_english"
invite,Business,"globish, voa_special_english"
involve,Business,"globish, voa_special_english"
iron,Materials,"globish, ogdens_basic_english, voa_special_english"
is,Nature,upgoer5
island,Nature,"globish, ogdens_basic_english, voa_special_english"
issue,Business,"globish, voa_special_english"
it,Mathematics,"globish, upgoer5, voa_special_english"
item,Business,globish
its,Nature,upgoer5
jacket,Clothes,"globish, upgoer5"
jail,Buildings,"globish, voa_special_english"
jeans,Clothes,upgoer5
jelly,Food/Drink,ogdens_basic_english
jerk,Body Parts,upgoer5
jewel,Materials,"globish, ogdens_basic_english, voa_special_english"
job,Business,"globish, upgoer5, voa_special_english"
join,Mathematics,"globish, ogdens_basic_english, upgoer5, voa_special_english"
joint,Body Parts,"globish, voa_special_english"
joke,People,"globish, upgoer5, voa_special_english"
journey,Transport,ogdens_basic_english
joy,People,globish
judge,People,"globish, ogdens_basic_english, voa_special_english"
jump,Body Parts,"globish, ogdens_basic_english, upgoer5, voa_special_english"
jury,People,"globish, voa_special_english"
just,Time,"globish, upgoer5, voa_special_english"
justice,Political,voa_special_english
keep,Business,"globish, ogdens_basic_english, upgoer5, voa_special_english"
kept,Time,upgoer5
kettle,Household,ogdens_basic_english
key,Tools,"globish, ogdens_basic_english, upgoer5"
kick,Body Parts,"globish, ogdens_basic_english, upgoer5, voa_special_english"
kid,People,"globish, upgoer5"
kidnap,Political,voa_special_english
kill,War,"globish, upgoer5, voa_special_english"
kind,Nature,"globish, ogdens_basic_english, upgoer5, voa_special_english"
king,People,globish
kiss,People,"globish, ogdens_basic_english, upgoer5, voa_special_english"
kit,Tools,globish
kitchen,Household,"globish, upgoer5"
knee,Body Parts,"ogdens_basic_english, upgoer5"
knew,Education,upgoer5
knife,Tools,"globish, ogdens_basic_english, voa_special_english"
knock,Visual,upgoer5
knot,Mathematics,ogdens_basic_english
know,Education,"globish, upgoer5, voa_special_english"
knowledge,Education,"ogdens_basic_english, voa_special_english"
known,Education,upgoer5
labor,Business,"globish, voa_special_english"
laboratory,Education,"globish, voa_special_english"
lack,Business,"globish, voa_special_english"
lady,People,upgoer5
lake,Nature,"globish, voa_special_english"
land,Nature,"globish, ogdens_basic_english, upgoer5, voa_special_english"
language,Education,"globish, ogdens_basic_english, voa_special_english"
large,Visual,"globish, upgoer5, voa_special_english"
last,Time,"globish, ogdens_basic_english, upgoer5, voa_special_english"
late,Time,"globish, ogdens_basic_english, upgoer5, voa_special_english"
laugh,People,"globish, ogdens_basic_english, upgoer5, voa_special_english"
launch,Transport,voa_special_english
law,Political,"globish, ogdens_basic_english, voa_special_english"
lay,Agriculture,"globish, upgoer5"
lead,Materials,"globish, ogdens_basic_english, upgoer5, voa_special_english"
leaf,Nature,ogdens_basic_english
leak,Household,"globish, voa_special_english"
lean,Direction,upgoer5
learn,Education,"globish, upgoer5, voa_special_english"
learning,Education,ogdens_basic_english
least,Mathematics,"globish, upgoer5"
leather,Materials,ogdens_basic_english
leave,Direction,"globish, upgoer5, voa_special_english"
led,Visual,upgoer5
left,Direction,"globish, ogdens_basic_english, upgoer5, voa_special_english"
leg,Body Parts,"globish, ogdens_basic_english, upgoer5"
legal,Political,"globish, voa_special_english"
legislature,Political,voa_special_english
lend,Business,"globish, voa_special_english"
length,Mathematics,globish
less,Mathematics,"globish, upgoer5, voa_special_english"
let,Business,"globish, ogdens_basic_english, upgoer5, voa_special_english"
letter,Education,"globish, ogdens_basic_english, upgoer5, voa_special_english"
level,Education,"globish, ogdens_basic_english, voa_special_english"
liberal,Political,voa_special_english
library,Education,ogdens_basic_english
lie,Body Parts,"globish, upgoer5, voa_special_english"
life,Nature,"globish, upgoer5, voa_special_english"
lift,Industry,"globish, ogdens_basic_english, upgoer5, voa_special_english"
light,Visual,"globish, ogdens_basic_english, upgoer5, voa_special_english"
lightning,Nature,voa_special_english
like,Visual,"globish, ogdens_basic_english, upgoer5, voa_special_english"
limit,Mathematics,"globish, ogdens_basic_english, voa_special_english"
line,Visual,"globish, ogdens_basic_english, upgoer5, voa_special_english"
linen,Materials,ogdens_basic_english
link,Business,"globish, voa_special_english"
lip,Body Parts,"globish, ogdens_basic_english, upgoer5"
liquid,Materials,"globish, ogdens_basic_english, voa_special_english"
list,Education,"globish, ogdens_basic_english, voa_special_english"
listen,People,"globish, upgoer5, voa_special_english"
literature,Education,voa_special_english
little,Visual,"globish, ogdens_basic_english, upgoer5, voa_special_english"
live,Nature,"globish, upgoer5, voa_special_english"
living,Nature,ogdens_basic_english
load,Education,"globish, voa_special_english"
loan,Business,"globish, voa_special_english"
local,Direction,"globish, voa_special_english"
locate,Visual,globish
lock,Household,"globish, ogdens_basic_english, upgoer5"
locker,Household,upgoer5
log,Mathematics,globish
lone,People,globish
lonely,People,voa_special_english
long,Time,"globish, ogdens_basic_english, upgoer5, voa_special_english"
look,Visual,"globish, ogdens_basic_english, upgoer5, voa_special_english"
loose,Household,"globish, ogdens_basic_english"
lose,Business,"globish, upgoer5, voa_special_english"
loss,Business,ogdens_basic_english
lost,Direction,upgoer5
lot,Business,"globish, upgoer5"
loud,Visual,"globish, ogdens_basic_english, upgoer5, voa_special_english"
love,People,"globish, ogdens_basic_english, upgoer5, voa_special_english"
low,Direction,"globish, ogdens_basic_english, upgoer5, voa_special_english"
loyal,People,voa_special_english
luck,Business,"globish, voa_special_english"
lunch,Food/Drink,upgoer5
machine,Industry,"ogdens_basic_english, voa_special_english"
mad,People,upgoer5
made,Industry,upgoer5
magazine,Business,voa_special_english
magic,Visual,globish
mail,Business,"globish, voa_special_english"
main,Business,"globish, voa_special_english"
major,Education,"globish, voa_special_english"
majority,Political,voa_special_english
make,Industry,"globish, ogdens_basic_english, upgoer5, voa_special_english"
male,People,"globish, ogdens_basic_english, voa_special_english"
man,People,"globish, ogdens_basic_english, upgoer5, voa_special_english"
manage,Business,upgoer5
manager,Business,ogdens_basic_english
manufacture,Industry,"globish, voa_special_english"
many,Mathematics,"globish, upgoer5, voa_special_english"
map,Visual,"globish, ogdens_basic_english, voa_special_english"
march,Time,"globish, voa_special_english"
mark,Visual,"globish, ogdens_basic_english, upgoer5, voa_special_english"
market,Business,"globish, ogdens_basic_english, voa_special_english"
married,People,ogdens_basic_english
marry,People,"globish, upgoer5, voa_special_english"
mass,Mathematics,"ogdens_basic_english, voa_special_english"
master,People,globish
match,Household,"globish, ogdens_basic_english, upgoer5"
mate,People,voa_special_english
material,Materials,"globish, ogdens_basic_english, voa_special_english"
mathematics,Mathematics,voa_special_english
matter,Materials,"globish, upgoer5, voa_special_english"
may,Time,"globish, ogdens_basic_english, upgoer5, voa_special_english"
maybe,Visual,upgoer5
mayor,Political,"globish, voa_special_english"
me,People,"globish, upgoer5"
meal,Food/Drink,"globish, ogdens_basic_english, voa_special_english"
mean,Mathematics,"globish, upgoer5, voa_special_english"
measure,Mathematics,"globish, ogdens_basic_english, voa_special_english"
meat,Food/Drink,"globish, ogdens_basic_english, voa_special_english"
media,Business,"globish, voa_special_english"
medical,Education,ogdens_basic_english
medicine,Industry,voa_special_english
meet,People,"globish, upgoer5, voa_special_english"
meeting,Business,ogdens_basic_english
melt,Nature,voa_special_english
member,People,"globish, voa_special_english"
memorial,Buildings,voa_special_english
memory,Education,"globish, ogdens_basic_english, upgoer5, voa_special_english"
men,People,upgoer5
mental,Body Parts,"globish, voa_special_english"
mention,People,upgoer5
mercy,Education,globish
message,Education,"globish, voa_special_english"
met,People,upgoer5
metal,Materials,"globish, ogdens_basic_english, voa_special_english"
meter,Mathematics,globish
method,Mathematics,"globish, voa_special_english"
microscope,Tools,voa_special_english
middle,Direction,"globish, ogdens_basic_english, upgoer5, voa_special_english"
might,Mathematics,"globish, upgoer5"
mile,Mathematics,globish
militant,War,voa_special_english
military,War,"globish, ogdens_basic_english, voa_special_english"
militia,War,voa_special_english
milk,Food/Drink,"globish, ogdens_basic_english, voa_special_english"
mind,Body Parts,"globish, ogdens_basic_english, upgoer5, voa_special_english"
mine,Industry,"globish, ogdens_basic_english, upgoer5, voa_special_english"
mineral,Materials,voa_special_english
minister,People,"globish, voa_special_english"
minor,Mathematics,"globish, voa_special_english"
minority,People,voa_special_english
minute,Time,"ogdens_basic_english, upgoer5, voa_special_english"
mirror,Household,upgoer5
miscellaneous,Mathematics,globish
miss,Visual,"globish, upgoer5, voa_special_english"
missile,War,voa_special_english
missing,Time,voa_special_english
mist,Nature,ogdens_basic_english
mistake,Education,"globish, voa_special_english"
mix,Food/Drink,"globish, voa_special_english"
mixed,Nature,ogdens_basic_english
mob,People,"globish, voa_special_english"
model,Industry,"globish, voa_special_english"
moderate,Mathematics,"globish, voa_special_english"
modern,Time,"globish, voa_special_english"
mom,People,upgoer5
moment,Time,upgoer5
money,Business,"globish, ogdens_basic_english, upgoer5, voa_special_english"
monkey,Animals,ogdens_basic_english
month,Time,"globish, ogdens_basic_english, upgoer5, voa_special_english"
mood,Nature,upgoer5
moon,Nature,"globish, ogdens_basic_english, voa_special_english"
moral,People,"globish, voa_special_english"
more,Mathematics,"globish, upgoer5, voa_special_english"
morning,Time,"globish, ogdens_basic_english, upgoer5, voa_special_english"
most,Mathematics,"globish, upgoer5, voa_special_english"
mother,People,"globish, ogdens_basic_english, upgoer5, voa_special_english"
motion,Direction,"globish, ogdens_basic_english, voa_special_english"
mountain,Nature,"globish, ogdens_basic_english, voa_special_english"
mourn,People,voa_special_english
mouth,Body Parts,"globish, ogdens_basic_english, upgoer5"
move,Direction,"globish, ogdens_basic_english, upgoer5, voa_special_english"
movement,Visual,voa_special_english
movie,Visual,"upgoer5, voa_special_english"
much,Mathematics,"globish, ogdens_basic_english, upgoer5, voa_special_english"
mum,People,upgoer5
mumble,People,upgoer5
murder,Political,"globish, voa_special_english"
muscle,Body Parts,"globish, ogdens_basic_english"
music,Education,"globish, ogdens_basic_english, upgoer5, voa_special_english"
must,Education,"globish, voa_special_english"
mutter,People,upgoer5
my,People,"globish, upgoer5"
myself,People,upgoer5
mystery,Visual,"globish, voa_special_english"
nail,Body Parts,"globish, ogdens_basic_english"
name,People,"globish, ogdens_basic_english, upgoer5, voa_special_english"
narrow,Visual,"globish, ogdens_basic_english, voa_special_english"
nation,Political,"globish, ogdens_basic_english, voa_special_english"
native,People,"globish, voa_special_english"
natural,Nature,"ogdens_basic_english, voa_special_english"
nature,Nature,voa_special_english
navy,Color,"globish, voa_special_english"
near,Direction,"globish, ogdens_basic_english, upgoer5, voa_special_english"
nearly,Mathematics,upgoer5
necessary,Education,"globish, ogdens_basic_english, voa_special_english"
neck,Body Parts,"globish, ogdens_basic_english, upgoer5"
need,People,"globish, ogdens_basic_english, upgoer5, voa_special_english"
needle,Household,ogdens_basic_english
negotiate,Business,voa_special_english
neighbor,People,"globish, voa_special_english"
neither,Mathematics,"globish, voa_special_english"
nerve,Body Parts,"globish, ogdens_basic_english"
nervous,Body Parts,upgoer5
net,Business,ogdens_basic_english
neutral,Mathematics,"globish, voa_special_english"
never,Time,"globish, upgoer5, voa_special_english"
new,Time,"globish, ogdens_basic_english, upgoer5, voa_special_english"
news,Business,"globish, ogdens_basic_english, voa_special_english"
next,Time,"globish, upgoer5, voa_special_english"
nice,Visual,"globish, upgoer5, voa_special_english"
night,Time,"globish, ogdens_basic_english, upgoer5, voa_special_english"
no,Mathematics,"globish, ogdens_basic_english, upgoer5, voa_special_english"
nod,Body Parts,upgoer5
noise,Nature,"globish, ogdens_basic_english, upgoer5, voa_special_english"
nominate,Political,voa_special_english
noon,Time,"globish, voa_special_english"
normal,Nature,"globish, ogdens_basic_english, upgoer5, voa_special_english"
north,Direction,"globish, ogdens_basic_english, voa_special_english"
nose,Body Parts,"globish, ogdens_basic_english, upgoer5"
not,Mathematics,"globish, ogdens_basic_english"
note,Education,"globish, ogdens_basic_english, upgoer5, voa_special_english"
nothing,Nature,"globish, upgoer5, voa_special_english"
notice,Business,"globish, upgoer5"
now,Time,"globish, ogdens_basic_english, upgoer5, voa_special_english"
nowhere,Direction,"globish, voa_special_english"
nuclear,War,voa_special_english
number,Mathematics,"globish, ogdens_basic_english, upgoer5, voa_special_english"
nut,Food/Drink,ogdens_basic_english
obey,Education,"globish, voa_special_english"
object,Mathematics,"globish, voa_special_english"
observation,Education,ogdens_basic_english
observe,Visual,"globish, voa_special_english"
obviously,Visual,upgoer5
occupy,War,"globish, voa_special_english"
occur,Time,globish
ocean,Nature,voa_special_english
of,Nature,"globish, ogdens_basic_english, voa_special_english"
off,Direction,"globish, ogdens_basic_english, upgoer5, voa_special_english"
offensive,People,"globish, voa_special_english"
offer,Business,"globish, ogdens_basic_english, upgoer5, voa_special_english"
office,Business,"globish, ogdens_basic_english, upgoer5, voa_special_english"
officer,People,"globish, voa_special_english"
official,Political,voa_special_english
often,Time,"globish, upgoer5, voa_special_english"
oh,People,upgoer5
oil,Materials,"globish, ogdens_basic_english, voa_special_english"
okay,Visual,upgoer5
old,Time,"globish, ogdens_basic_english, upgoer5, voa_special_english"
